Search results:

    jquery git://github.com/components/jquery.git
    jquery-ui git://github.com/components/jqueryui
    jquery.cookie git://github.com/carhartl/jquery-cookie.git
    jquery-placeholder git://github.com/mathiasbynens/jquery-placeholder.git
    jquery-file-upload git://github.com/blueimp/jQuery-File-Upload.git
    jasmine-jquery git://github.com/velesin/jasmine-jquery
    jquery.ui git://github.com/jquery/jquery-ui.git
    jquery.scrollTo git://github.com/flesler/jquery.scrollTo.git
    jquery-migrate git://github.com/appleboy/jquery-migrate.git
    jquery.validation git://github.com/jzaefferer/jquery-validation.git
    jquery-waypoints git://github.com/imakewebthings/jquery-waypoints.git
    jquery-mousewheel git://github.com/brandonaaron/jquery-mousewheel.git
    jquery-pjax git://github.com/defunkt/jquery-pjax.git
    jquery-autosize git://github.com/jackmoore/autosize.git
    jquery.transit git://github.com/rstacruz/jquery.transit.git
    jquery-timeago git://github.com/rmm5t/jquery-timeago.git
    jquery-form git://github.com/malsup/form.git
    geonames-server-jquery-plugin git://github.com/alchemy-fr/GeonamesServer-jQuery-Plugin.git
    jquery.tools git://github.com/jquerytools/jquerytools.git
    chai-jquery git://github.com/chaijs/chai-jquery.git
    jquery.tablesorter git://github.com/Mottie/tablesorter.git
    jquery-mobile git://github.com/jquery/jquery-mobile.git
    jquery-bridget git://github.com/desandro/jquery-bridget.git
    jquery.sticky git://github.com/yatskevich/sticky.git
    jquery-mockjax git://github.com/appendto/jquery-mockjax
    jquery-masonry git://github.com/desandro/masonry
    jqueryui-touch-punch git://github.com/furf/jquery-ui-touch-punch.git
    jquery-easing git://github.com/danro/jquery-easing.git
    jquery-color git://github.com/jquery/jquery-color.git
    jquery-ui-touch-punch git://github.com/functino/jquery-ui-touch-punch.git
    jquery-galleria git://github.com/aino/galleria.git
    jquery.uniform git://github.com/pixelmatrix/uniform.git
    jquery.stellar git://github.com/markdalgleish/stellar.js.git
    jquery-serialize-object git://github.com/macek/jquery-serialize-object.git
    jquery-nicescroll git://github.com/inuyaksa/jquery.nicescroll.git
    jquery-hoverIntent git://github.com/briancherne/jquery-hoverIntent.git
    jquery-colorbox git://github.com/jackmoore/colorbox
    jquery.lazyload git://github.com/tuupola/jquery_lazyload.git
    jquery.complexify.js git://github.com/danpalmer/jquery.complexify.js.git
    jquery-minicolors git://github.com/claviska/jquery-minicolors.git
    jquery.form git://github.com/chiefy/form.git
    jquery.cycle git://github.com/kertal/cycle
    jquery-filedrop git://github.com/weixiyen/jquery-filedrop.git
    jqueryuibootstrap git://github.com/addyosmani/jquery-ui-bootstrap.git
    jquery-validation git://github.com/niftylettuce/jquery-validation.git
    jquery-ui-bootstrap git://github.com/gustavohenke/jquery-ui-bootstrap
    jquery.slimscroll git://github.com/rochal/jQuery-slimScroll/
    jquery-ujs git://github.com/rails/jquery-ujs.git
    jquery-transform git://github.com/louisremi/jquery.transform.js.git
    jquery.maskedinput git://github.com/gustavohenke/jquery.maskedinput
    jquery.watermark git://github.com/chiefy/jQuery-Watermark
    jquery-knob git://github.com/aterrien/jQuery-Knob
    cometd-js-jquery git://github.com/askarby/cometd-js-jquery
    jquery-touchswipe git://github.com/mattbryson/TouchSwipe-Jquery-Plugin.git
    jquery.tagsinput git://github.com/xoxco/jQuery-Tags-Input.git
    jquery-powertip git://github.com/stevenbenner/jquery-powertip.git
    jquery.placeholder git://github.com/matoilic/jquery.placeholder.git
    jquery-simple-slider git://github.com/loopj/jquery-simple-slider.git
    jquery.circular git://github.com/chikamichi/jquery.circular.git
    jquery.easing git://github.com/jozefizso/bower-jquery-easing.git
    jquery-ui-amd git://github.com/teambition/jquery-ui-amd.git
    jquery.smooth-scroll git://github.com/kswedberg/jquery-smooth-scroll.git
    jquery-tmpl git://github.com/jquery/jquery-tmpl.git
    jqjquery-wysibb git://github.com/wbb/WysiBB.git
    jquery-tiny-pubsub git://github.com/wixo/jquery-tiny-pubsub.git
    jquery.browser git://github.com/gabceb/jquery-browser-plugin.git
    jquery-backstretch git://github.com/srobbin/jquery-backstretch.git
    jquery-mobile-angular-adapter git://github.com/opitzconsulting/jquery-mobile-angular-adapter.git
    jquery-timepicker-jt git://github.com/jonthornton/jquery-timepicker.git
    jquery.expander git://github.com/kswedberg/jquery-expander.git
    embedly-jquery git://github.com/embedly/embedly-jquery.git
    jquery-idletimer git://github.com/mikesherov/jquery-idletimer.git
    jquery.payment git://github.com/stripe/jquery.payment.git
    jquery-modal git://github.com/kylefox/jquery-modal.git
    jquery-maskedinputs git://github.com/digitalBush/jquery.maskedinput.git
    jquery.animate-enhanced git://github.com/benbarnett/jQuery-Animate-Enhanced.git
    jquery-cycle2 git://github.com/malsup/cycle2.git
    jquery.inputmask git://github.com/RobinHerbots/jquery.inputmask.git
    jquery.jscrollpane git://github.com/blittle/jscrollpane.git
    jquery.localScroll git://github.com/flesler/jquery.localScroll.git
    jquery.throttle git://github.com/wangshijun2010/jquery.throttle.git
    jquery-simulate git://github.com/jquery/jquery-simulate.git
    jquery-md5 git://github.com/placemarker/jQuery-MD5
    jquery-autocomplete git://github.com/trendalytics/bower-jquery-autocomplete.git
    jquery.expanding-textareas git://github.com/kbrs/ExpandingTextareas.git
    jquery-resize git://github.com/cowboy/jquery-resize.git
